da,equity
2019-09-09 07:45:00,500.0
2019-09-10 08:45:00,500.0
2019-09-11 09:45:00,500.0
2019-09-12 10:45:00,500.0
2019-09-13 11:45:00,500.0
2019-09-14 12:45:00,500.0
2019-09-15 13:45:00,500.0
2019-09-16 14:45:00,500.0
2019-09-17 15:45:00,500.0
2019-09-18 16:45:00,500.0
2019-09-19 17:45:00,500.0
2019-09-20 18:45:00,500.0
2019-09-21 19:45:00,500.0
2019-09-22 20:45:00,500.0
2019-09-23 21:45:00,500.0
2019-09-24 22:45:00,500.0
2019-09-25 23:45:00,500.0
2019-09-27 00:45:00,500.0
2019-09-28 01:45:00,500.0
2019-09-29 02:45:00,500.0
2019-09-30 03:45:00,500.0
2019-10-01 04:45:00,500.0
2019-10-02 05:45:00,500.0
2019-10-03 06:45:00,500.0
2019-10-04 07:45:00,500.0
2019-10-05 08:45:00,500.0
2019-10-06 09:45:00,500.0
2019-10-07 10:45:00,500.0
2019-10-08 11:45:00,500.0
2019-10-09 12:45:00,500.0
2019-10-10 13:45:00,500.0
2019-10-11 14:45:00,500.0
2019-10-12 15:45:00,500.0
2019-10-13 16:45:00,500.0
2019-10-14 17:45:00,500.0
2019-10-15 18:45:00,500.0
2019-10-16 19:45:00,500.0
2019-10-17 20:45:00,500.0
2019-10-18 21:45:00,500.0
2019-10-19 22:45:00,500.0
2019-10-20 23:45:00,500.0
2019-10-22 00:45:00,500.0
2019-10-23 01:45:00,500.0
2019-10-24 02:45:00,500.0
2019-10-25 03:45:00,500.0
2019-10-26 04:45:00,500.0
2019-10-27 05:45:00,500.0
2019-10-28 06:45:00,500.0
2019-10-29 07:45:00,500.0
2019-10-30 08:45:00,500.0
2019-10-31 09:45:00,500.0
2019-11-01 10:45:00,500.0
2019-11-02 11:45:00,500.0
2019-11-03 12:45:00,500.0
2019-11-04 13:45:00,500.0
2019-11-05 14:45:00,500.0
2019-11-06 15:45:00,500.0
2019-11-07 16:45:00,500.0
2019-11-08 17:45:00,500.0
2019-11-09 18:45:00,500.0
2019-11-10 19:45:00,500.0
2019-11-11 20:45:00,500.0
2019-11-12 21:45:00,500.0
2019-11-13 22:45:00,500.0
2019-11-14 23:45:00,500.0
2019-11-16 00:45:00,500.0
2019-11-17 01:45:00,500.0
2019-11-18 02:45:00,500.0
2019-11-19 03:45:00,500.0
2019-11-20 04:45:00,500.0
2019-11-21 05:45:00,500.0
2019-11-22 06:45:00,500.0
2019-11-23 07:45:00,500.0
2019-11-24 08:45:00,500.0
2019-11-25 09:45:00,500.0
2019-11-26 10:45:00,500.0
2019-11-27 11:45:00,500.0
2019-11-28 12:45:00,500.0
2019-11-29 13:45:00,500.0
2019-11-30 14:45:00,500.0
2019-12-01 15:45:00,500.0
2019-12-02 16:45:00,500.0
2019-12-03 17:45:00,500.0
2019-12-04 18:45:00,500.0
2019-12-05 19:45:00,500.0
2019-12-06 20:45:00,500.0
2019-12-07 21:45:00,500.0
2019-12-08 22:45:00,500.0
2019-12-09 23:45:00,500.0
2019-12-11 00:45:00,500.0
2019-12-12 01:45:00,500.0
2019-12-13 02:45:00,500.0
2019-12-14 03:45:00,500.0
2019-12-15 04:45:00,500.0
2019-12-16 05:45:00,500.0
2019-12-17 06:45:00,500.0
2019-12-18 07:45:00,500.0
2019-12-19 08:45:00,500.0
2019-12-20 09:45:00,500.0
2019-12-21 10:45:00,500.0
2019-12-22 11:45:00,500.0
2019-12-23 12:45:00,500.0
2019-12-24 13:45:00,500.0
2019-12-25 14:45:00,500.0
2019-12-26 15:45:00,500.0
2019-12-27 16:45:00,500.0
2019-12-28 17:45:00,500.0
2019-12-29 18:45:00,500.0
2019-12-30 19:45:00,500.0
2019-12-31 20:45:00,500.0
2020-01-01 21:45:00,500.0
2020-01-02 22:45:00,500.0
2020-01-03 23:45:00,500.0
2020-01-05 00:45:00,500.0
2020-01-06 01:45:00,500.0
2020-01-07 02:45:00,500.0
2020-01-08 03:45:00,500.0
2020-01-09 04:45:00,500.0
2020-01-10 05:45:00,500.0
2020-01-11 06:45:00,500.0
2020-01-12 07:45:00,500.0
2020-01-13 08:45:00,500.0
2020-01-14 09:45:00,500.0
2020-01-15 10:45:00,500.0
2020-01-16 11:45:00,500.0
2020-01-17 12:45:00,500.0
2020-01-18 13:45:00,500.0
2020-01-19 14:45:00,500.0
2020-01-20 15:45:00,500.0
2020-01-21 16:45:00,500.0
2020-01-22 17:45:00,500.0
2020-01-23 18:45:00,500.0
2020-01-24 19:45:00,500.0
2020-01-25 20:45:00,500.0
2020-01-26 21:45:00,500.0
2020-01-27 22:45:00,500.0
2020-01-28 23:45:00,500.0
2020-01-30 00:45:00,500.0
2020-01-31 01:45:00,500.0
2020-02-01 02:45:00,500.0
2020-02-02 03:45:00,500.0
2020-02-03 04:45:00,500.0
2020-02-04 05:45:00,500.0
2020-02-05 06:45:00,500.0
2020-02-06 07:45:00,500.0
2020-02-07 08:45:00,500.0
2020-02-08 09:45:00,500.0
2020-02-09 10:45:00,500.0
2020-02-10 11:45:00,500.0
2020-02-11 12:45:00,500.0
2020-02-12 13:45:00,500.0
2020-02-13 14:45:00,500.0
2020-02-14 15:45:00,500.0
2020-02-15 16:45:00,500.0
2020-02-16 17:45:00,500.0
2020-02-17 18:45:00,500.0
2020-02-18 19:45:00,500.0
2020-02-19 20:45:00,500.0
2020-02-20 21:45:00,500.0
2020-02-21 22:45:00,500.0
2020-02-22 23:45:00,500.0
2020-02-24 00:45:00,500.0
2020-02-25 01:45:00,500.0
2020-02-26 02:45:00,500.0
2020-02-27 03:45:00,500.0
2020-02-28 04:45:00,500.0
2020-02-29 05:45:00,500.0
2020-03-01 06:45:00,500.0
2020-03-02 07:45:00,500.0
2020-03-03 08:45:00,500.0
2020-03-04 09:45:00,500.0
2020-03-05 10:45:00,500.0
2020-03-06 11:45:00,500.0
2020-03-07 12:45:00,500.0
2020-03-08 13:45:00,500.0
2020-03-09 14:45:00,500.0
2020-03-10 15:45:00,500.0
2020-03-11 16:45:00,500.0
2020-03-12 17:45:00,500.0
2020-03-13 18:45:00,500.0
2020-03-14 19:45:00,500.0
2020-03-15 20:45:00,500.0
2020-03-16 21:45:00,500.0
2020-03-17 22:45:00,500.0
2020-03-18 23:45:00,500.0
2020-03-20 00:45:00,500.0
2020-03-21 01:45:00,500.0
2020-03-22 02:45:00,500.0
2020-03-23 03:45:00,500.0
2020-03-24 04:45:00,500.0
2020-03-25 05:45:00,500.0
2020-03-26 06:45:00,500.0
2020-03-27 07:45:00,500.0
2020-03-28 08:45:00,500.0
2020-03-29 09:45:00,500.0
2020-03-30 10:45:00,500.0
2020-03-31 11:45:00,500.0
2020-04-01 12:45:00,500.0
2020-04-02 13:45:00,500.0
2020-04-03 14:45:00,500.0
2020-04-04 15:45:00,500.0
2020-04-05 16:45:00,500.0
2020-04-06 17:45:00,500.0
2020-04-07 18:45:00,500.0
2020-04-08 19:45:00,500.0
2020-04-09 20:45:00,500.0
2020-04-10 21:45:00,500.0
2020-04-11 22:45:00,500.0
2020-04-12 23:45:00,500.0
2020-04-14 00:45:00,500.0
2020-04-15 01:45:00,500.0
2020-04-16 02:45:00,500.0
2020-04-17 03:45:00,500.0
2020-04-18 04:45:00,500.0
2020-04-19 05:45:00,500.0
2020-04-20 06:45:00,500.0
2020-04-21 07:45:00,500.0
2020-04-22 08:45:00,500.0
2020-04-23 09:45:00,500.0
2020-04-24 10:45:00,500.0
2020-04-25 11:45:00,500.0
2020-04-26 12:45:00,500.0
2020-04-27 13:45:00,500.0
2020-04-28 14:45:00,500.0
