symbol,entry_time,exit_time,entry_price,exit_price,leverage,margin,pnl,pnl_pct,exit_reason,bars_held
RLCUSDT,2021-01-08 12:45:00,2021-01-08 13:15:00,1.2436,1.299771,3,75.0,9.5628,12.75,trailing_stop,2
RLCUSDT,2021-02-14 10:00:00,2021-02-14 10:30:00,2.4613,2.504007,3,76.3906,3.3736,4.42,trailing_stop,2
RLCUSDT,2021-05-06 13:15:00,2021-05-06 14:00:00,5.4104,5.516082,3,76.8519,3.8955,5.07,trailing_stop,3
RLCUSDT,2021-05-06 14:30:00,2021-05-06 16:45:00,5.5963,5.011142857142858,3,77.3913,-24.8567,-32.12,stop_loss,9
RLCUSDT,2021-05-09 04:45:00,2021-05-09 05:00:00,6.2048,6.633,3,73.6175,14.6464,19.9,trailing_stop,1
RLCUSDT,2021-05-09 05:45:00,2021-05-09 06:15:00,6.4455,6.764769,3,75.7714,10.6523,14.06,trailing_stop,2
RLCUSDT,2021-05-09 06:15:00,2021-05-09 06:30:00,6.6991,7.1379,3,77.3249,14.5709,18.84,trailing_stop,1
RLCUSDT,2021-05-09 06:30:00,2021-05-09 06:45:00,7.1619,7.705863,3,79.4653,17.4624,21.97,trailing_stop,1
RLCUSDT,2021-05-09 21:45:00,2021-05-09 22:00:00,8.0594,8.274816,3,82.0382,5.9289,7.23,trailing_stop,1
RLCUSDT,2021-05-09 22:15:00,2021-05-09 22:30:00,8.6114,8.8011,3,82.8795,4.8227,5.82,trailing_stop,1
RLCUSDT,2021-05-09 23:00:00,2021-05-09 23:15:00,9.3161,11.888316,3,83.5544,68.4665,81.94,trailing_stop,1
RLCUSDT,2021-05-10 16:45:00,2021-05-10 17:00:00,13.4298,14.0679,3,93.7755,12.6169,13.45,trailing_stop,1
RLCUSDT,2021-05-10 17:00:00,2021-05-10 17:15:00,14.1899,14.6025,3,95.6132,7.5827,7.93,trailing_stop,1
RLCUSDT,2021-05-10 17:30:00,2021-05-10 17:45:00,15.1271,16.235999999999997,3,96.6947,20.4818,21.18,trailing_stop,1
RLCUSDT,2024-02-18 08:30:00,2024-02-18 08:45:00,3.5852,3.679929,3,99.7104,7.1145,7.14,trailing_stop,1
RLCUSDT,2024-02-18 08:45:00,2024-02-19 09:30:00,3.6407,3.3175,3,100.7192,-27.6914,-27.49,stop_loss,99
